City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Pascagoula,US,30.3658,-88.5561,75.2,78,75,6.91,broken clouds
332,Santa Fe,AR,-31.6333,-60.7,70.0,70,92,3.0,overcast clouds
333,Aurangabad,IN,19.8833,75.3333,82.47,14,19,2.73,few clouds
334,Port-Cartier,CA,50.0334,-66.8654,30.0,74,90,17.27,overcast clouds
335,Henties Bay,NA,-22.116,14.2845,61.0,90,0,5.99,clear sky
336,Soyo,AO,-6.1349,12.3689,81.12,78,100,5.61,overcast clouds
337,Trelew,AR,-43.249,-65.3051,71.1,36,90,16.02,overcast clouds
338,San Pedro,PH,14.35,121.0167,82.4,74,20,4.61,few clouds
339,Santa Rosa,PH,14.3122,121.1114,82.4,74,20,4.61,few clouds
340,Marfino,RU,55.7028,37.3822,39.2,60,0,2.24,clear sky
341,Chake Chake,TZ,-5.2459,39.7666,81.23,76,23,5.39,few clouds
342,Paoua,CF,7.2427,16.4406,79.02,53,63,5.01,light rain
